State,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations,state_id
Total,11566,1039388,1444,25268,7364,188149,0
Alabama,43,2903,1,11,0,277,1
Arizona,182,16530,0,232,39,1256,3
Arkansas,11,31860,17,390,48,3394,4
Colorado,759,22217,5,874,224,7203,6
Connecticut,85,8060,16,208,39,2372,7
Delaware,1154,9431,31,104,41,2173,8
Georgia,885,32004,32,1153,246,4695,10
Hawaii,46,2400,313,60,40,421,11
Idaho,52,22434,0,288,33,897,12
Illinois,1,557,0,32,6,539,13
Indiana,437,30118,249,718,60,4832,14
Iowa,0,21444,3,392,31,2436,15
Kansas,1,27134,6,387,76,2934,16
Kentucky,178,41189,13,573,84,2875,17
Louisiana,2,12399,14,314,97,1988,18
Maine,26,2693,2,216,37,196,19
Maryland,5,3099,1,105,28,898,20
Massachusetts,115,8846,59,891,157,3238,21
Michigan,487,25083,23,1070,508,15803,22
Minnesota,260,17993,12,497,22,3994,23
Mississippi,209,12103,7,119,18,1425,24
Missouri,214,40198,29,489,106,5048,25
Montana,100,7211,0,16,23,208,26
Nebraska,53,7680,0,184,22,694,27
Nevada,44,8506,20,86,590,2470,28
New Hampshire,188,6183,4,700,68,461,29
New Mexico,62,5918,1,157,59,1696,31
New York,0,2548,0,51,27,498,32
North Carolina,481,84595,95,1551,311,13086,33
North Dakota,88,12035,6,192,34,638,34
Ohio,218,48301,3,1246,409,11788,35
Oklahoma,102,15950,1,513,75,3154,36
Oregon,407,15546,1,520,116,5799,37
Pennsylvania,1,219,0,7,0,40,38
Rhode Island,35,2265,7,413,13,824,39
South Carolina,313,46806,40,803,169,8975,40
South Dakota,21,12738,11,232,33,724,41
Tennessee,423,79671,20,790,340,12628,42
Texas,2137,126171,376,3523,1942,21031,43
Utah,64,35355,4,520,143,3399,44
Vermont,33,1181,1,88,16,78,45
Virginia,1164,56611,9,1894,371,14022,46
Washington,200,23864,9,739,415,5625,47
West Virginia,9,10653,0,495,30,1592,48
Wisconsin,241,37553,3,1418,216,9734,49
Wyoming,29,803,0,7,2,14,50
