State,Assault Offenses,Homicide Offenses,Human Trafficking,Kidnapping/ Abduction,Sex Offenses,state_id
Total,2063412.0,11815.0,1576.0,31216.0,127261.0,0
Alabama,4214.0,24.0,0.0,52.0,94.0,1
Arizona,16756.0,86.0,5.0,302.0,1291.0,3
Arkansas,60103.0,340.0,2.0,685.0,2763.0,4
Colorado,55631.0,350.0,30.0,2403.0,5807.0,6
Connecticut,25994.0,134.0,10.0,249.0,1446.0,7
Delaware,15255.0,87.0,6.0,215.0,591.0,8
Georgia,91136.0,605.0,215.0,2040.0,5965.0,10
Hawaii,8358.0,25.0,10.0,323.0,660.0,11
Idaho,14725.0,48.0,4.0,241.0,1954.0,12
Illinois,5350.0,33.0,0.0,117.0,188.0,13
Indiana,49876.0,448.0,39.0,1275.0,3665.0,14
Iowa,28466.0,124.0,0.0,220.0,2062.0,15
Kansas,39051.0,95.0,0.0,1239.0,2222.0,16
Kentucky,43377.0,366.0,19.0,1166.0,2959.0,17
Louisiana,21860.0,130.0,2.0,228.0,775.0,18
Maine,7599.0,20.0,3.0,21.0,695.0,19
Maryland,7239.0,100.0,5.0,20.0,812.0,20
Massachusetts,64802.0,167.0,28.0,487.0,3425.0,21
Michigan,143029.0,848.0,49.0,818.0,10366.0,22
Minnesota,28884.0,188.0,50.0,464.0,3014.0,23
Mississippi,16016.0,91.0,0.0,78.0,658.0,24
Missouri,54524.0,402.0,36.0,513.0,2983.0,25
Montana,11845.0,61.0,4.0,272.0,1448.0,26
Nebraska,8192.0,25.0,1.0,138.0,891.0,27
Nevada,23483.0,93.0,111.0,419.0,1561.0,28
New Hampshire,13096.0,24.0,7.0,253.0,1533.0,29
New Mexico,23577.0,126.0,4.0,853.0,1398.0,31
New York,11135.0,22.0,0.0,193.0,522.0,32
North Carolina,120176.0,809.0,56.0,1900.0,5518.0,33
North Dakota,9620.0,34.0,11.0,135.0,969.0,34
Ohio,139203.0,747.0,16.0,1908.0,7081.0,35
Oklahoma,33454.0,206.0,12.0,459.0,2659.0,36
Oregon,34389.0,171.0,24.0,445.0,3194.0,37
Pennsylvania,238.0,3.0,0.0,5.0,18.0,38
Rhode Island,8508.0,32.0,3.0,52.0,651.0,39
South Carolina,88748.0,575.0,23.0,1085.0,3654.0,40
South Dakota,12063.0,52.0,2.0,171.0,1128.0,41
Tennessee,136180.0,747.0,40.0,2028.0,5318.0,42
Texas,337069.0,1792.0,399.0,2758.0,15783.0,43
Utah,28617.0,110.0,66.0,891.0,4036.0,44
Vermont,3569.0,18.0,1.0,93.0,307.0,45
Virginia,91564.0,588.0,60.0,1642.0,4821.0,46
Washington,72069.0,334.0,78.0,1264.0,5243.0,47
West Virginia,13128.0,121.0,59.0,137.0,1163.0,48
Wisconsin,39165.0,409.0,85.0,938.0,3801.0,49
Wyoming,1085.0,2.0,1.0,18.0,107.0,50
